job_id,job_title,required_skills,experience_level,education_required
1091,Data Scientist,"CSS, SQL, React",Mid,Bachelors
1092,Project Manager,"HTML, Project Management, Data Analysis",Mid,PhD
1093,Data Analyst,"Python, SQL, Data Analysis",Senior,Bachelors
1094,Frontend Developer,"Cloud Computing, Data Analysis, Project Management",Mid,Bachelors
1095,Frontend Developer,"SQL, HTML, Data Analysis",Mid,PhD
1096,Data Analyst,"SQL, Python, React",Mid,Masters
1097,Data Analyst,"CSS, HTML, Python",Entry,Masters
1098,Data Scientist,"SQL, Java, Data Analysis",Senior,Masters
1099,Software Engineer,"Java, Data Analysis, Machine Learning",Entry,Masters
1100,Data Scientist,"HTML, React, SQL",Senior,Masters
